Sanskit Text	Sanskrit Transliteration	Translation
पावकेभिर विश्वमिन्वेभिर आयुभिर वैश्वानर परदिवा केतुना सजूः ||	pāvakebhir viśvaminvebhir āyubhir vaiśvānara pradivā ketunā sajūḥ ||	With these the living ones who cleanse and further all, joined with thy banner, O Vaiśvānara, from of old.

के षठा नरः शरेष्ठतमा य एक-एक आयय |	ke ṣṭhā naraḥ śreṣṭhatamā ya eka-eka āyaya |	1. O HEROES lordliest of all, who are ye that have singly come
परमस्याः परावतः ||	paramasyāḥ parāvataḥ ||	Forth from a region most remote?
कव वो ऽशवाः कव्र्भीशवः कथं शेक कथा यय |	kva vo 'śvāḥ kvṛbhīśavaḥ kathaṃ śeka kathā yaya |	2. Where are your horses, where the reins? How came ye? how had ye the power?
पर्ष्ठे सदो नसोर यमः ||	pṛṣṭhe sado nasor yamaḥ ||	Rein was on nose and seat on back.
जघने चोद एषां वि सक्थानि नरो यमुः |	jaghane coda eṣāṃ vi sakthāni naro yamuḥ |	3 The whip is laid upon the flank. The heroes stretch their thighs apart,
पुत्रक्र्थे न जनयः ||	putrakṛthe na janayaḥ ||	Like women when the babe is born.
परा वीरास एतन मर्यासो भद्रजानयः |	parā vīrāsa etana maryāso bhadrajānayaḥ |	4 Go ye, O Heroes, far away, ye bridegrooms with a lovely Spouse
अग्नितपो यथासथ ||	aghnitapo yathāsatha ||	That ye may warm you at the fire.
सनत साश्व्यम पशुम उत गव्यं शतावयम |	sanat sāśvyam paśum uta ghavyaṃ śatāvayam |	5 May she gain cattle for her meed, hundreds of sheep and steeds and kine,
शयावाश्वस्तुताय या दोर वीरायोपबर्ब्र्हत ||	śyāvāśvastutāya yā dor vīrāyopabarbṛhat ||	Who threw embracing arms around the hero whom gyavaiva praised.
उत तवा सत्री शशीयसी पुंसो भवति वस्यसी |	uta tvā strī śaśīyasī puṃso bhavati vasyasī |	6 Yea, many a woman is more firm and better than the man who turns
अदेवत्राद अराधसः ||	adevatrād arādhasaḥ ||	Away from Gods, andoffers not.
वि या जानाति जसुरिं वि तर्ष्यन्तं वि कामिनम |	vi yā jānāti jasuriṃ vi tṛṣyantaṃ vi kāminam |	7 She who discerns the weak and worn, the man who thirsts and is in want
देवत्रा कर्णुते मनः ||	devatrā kṛṇute manaḥ ||	She sets her mind upon the Gods.
उत घा नेमो अस्तुतः पुमां इति बरुवे पणिः |	uta ghā nemo astutaḥ pumāṃ iti bruve paṇiḥ |	8 And yet full many a one, unpraised, mean niggard, is entitled man:
स वैरदेय इत समः ||	sa vairadeya it samaḥ ||	Only in weregild is he such.
उत मे ऽरपद युवतिर ममन्दुषी परति शयावाय वर्तनिम |	uta me 'rapad yuvatir mamanduṣī prati śyāvāya vartanim |	9 And she, the young, the joyous-spirited, divulged the path to Śyāva, yea, to me.
वि रोहिता पुरुमीळ्हाय येमतुर विप्राय दीर्घयशसे ||	vi rohitā purumīḷhāya yematur viprāya dīrghayaśase ||	Two red steeds carried me to Purumīlha's side, that sage of far-extended fame,
यो मे धेनूनां शतं वैददश्विर यथा ददत |	yo me dhenūnāṃ śataṃ vaidadaśvir yathā dadat |	10 Him who, like Vaidadasvi, like Taranta, hath bestowed on me
तरन्त इव मंहना ||	taranta iva maṃhanā ||	A hundred cows in liberal gift.
य ईं वहन्त आशुभिः पिबन्तो मदिरम मधु |	ya īṃ vahanta āśubhiḥ pibanto madiram madhu |	11 They who are borne by rapid steeds, drinking the meath that gives delight,
अत्र शरवांसि दधिरे ||	atra śravāṃsi dadhire ||	They have attained high glories here.
येषां शरियाधि रोदसी विभ्राजन्ते रथेष्व आ |	yeṣāṃ śriyādhi rodasī vibhrājante ratheṣv ā |	12 They by whose splendour both the worlds are over-spread they shine on cars
दिवि रुक्म इवोपरि ||	divi rukma ivopari ||	As the gold gleams above in heaven.
युवा स मारुतो गणस तवेषरथो अनेद्यः |	yuvā sa māruto ghaṇas tveṣaratho anedyaḥ |	13 That Marut band is ever young, borne on bright cars, unblamable,
शुभंयावाप्रतिष्कुतः ||	śubhaṃyāvāpratiṣkutaḥ ||	Moving to victory, checked by none.
को वेद नूनम एषां यत्रा मदन्ति धूतयः |	ko veda nūnam eṣāṃ yatrā madanti dhūtayaḥ |	14 Who knoweth, verily, of these where the All-shakers take delight,
रतजाता अरेपसः ||	ṛtajātā arepasaḥ ||	Born, spotless, after sacred Law?
यूयम मर्तं विपन्यवः परणेतार इत्था धिया |	yūyam martaṃ vipanyavaḥ praṇetāra itthā dhiyā |	15 Guides are ye, lovers of the song to mortal man through holy hymn,
शरोतारो यामहूतिषु ||	śrotāro yāmahūtiṣu ||	And hearers when he cries for help.
ते नो वसूनि काम्या पुरुश्चन्द्रा रिशादसः |	te no vasūni kāmyā puruścandrā riśādasaḥ |	16 Do ye, destroyers of the foe, worshipful and exceeding bright,
आ यज्ञियासो वव्र्त्तन ||	ā yajñiyāso vavṛttana ||	Send down the treasures that we crave.
एतम मे सतोमम ऊर्म्ये दार्भ्याय परा वह |	etam me stomam ūrmye dārbhyāya parā vaha |	17 OUrmya, bear thou far away to Darbhya this my hymn of praise,
गिरो देवि रथीर इव ||	ghiro devi rathīr iva ||	Songs, Goddess, as if chariot-borne.
उत मे वोचताद इति सुतसोमे रथवीतौ |	uta me vocatād iti sutasome rathavītau |	18 From me to Rathaviti say, when he hath pressed the Soma juice,
न कामो अप वेति मे ||	na kāmo apa veti me ||	The wish I had departeth not.
एष कषेति रथवीतिर मघवा गोमतीर अनु |	eṣa kṣeti rathavītir maghavā ghomatīr anu |	19 This wealthy Rathaviti dwells among the people rich in kine,
पर्वतेष्व अपश्रितः ||	parvateṣv apaśritaḥ ||	Among the mountains, far withdrawn.

रतेन रतम अपिहितं धरुवं वां सूर्यस्य यत्र विमुचन्त्य अश्वान |	ṛtena ṛtam apihitaṃ dhruvaṃ vāṃ sūryasya yatra vimucanty aśvān |	1. BY your high Law firm order is established there where they loose for travel Sūrya's horses.
दश शता सह तस्थुस तद एकं देवानां शरेष्ठं वपुषाम अपश्यम ||	daśa śatā saha tasthus tad ekaṃ devānāṃ śreṣṭhaṃ vapuṣām apaśyam ||	Ten hundred stood together: there I looked on this the most marvellous Deities' one chief glory.
तत सु वाम मित्रावरुणा महित्वम ईर्मा तस्थुषीर अहभिर दुदुह्रे |	tat su vām mitrāvaruṇā mahitvam īrmā tasthuṣīr ahabhir duduhre |	2 This, Mitra-Varuṇa, is your special greatness: floods that stood there they with the days attracted.
विश्वाः पिन्वथः सवसरस्य धेना अनु वाम एकः पविर आ ववर्त ||	viśvāḥ pinvathaḥ svasarasya dhenā anu vām ekaḥ pavir ā vavarta ||	Ye cause to flow all voices of the cowpen: your single chariotfelly hath rolled hither.
अधारयतम पर्थिवीम उत दयाम मित्रराजाना वरुणा महोभिः |	adhārayatam pṛthivīm uta dyām mitrarājānā varuṇā mahobhiḥ |	3 O Mitra-Varuṇa, ye by your greatness, both Kings, have firmly stablished earth and heaven,
वर्धयतम ओषधीः पिन्वतं गा अव वर्ष्टिं सर्जतं जीरदानू ||	vardhayatam oṣadhīḥ pinvataṃ ghā ava vṛṣṭiṃ sṛjataṃ jīradānū ||	Ye caused the cows to stream, the plants to flourish, and, scattering swift drops, sent down the rain-flood.
आ वाम अश्वासः सुयुजो वहन्तु यतरश्मय उप यन्त्व अर्वाक |	ā vām aśvāsaḥ suyujo vahantu yataraśmaya upa yantv arvāk |	4 Let your well-harnessed horses bear you hither: hitherward let them come with reins drawn tightly.
घर्तस्य निर्णिग अनु वर्तते वाम उप सिन्धवः परदिवि कषरन्ति ||	ghṛtasya nirṇigh anu vartate vām upa sindhavaḥ pradivi kṣaranti ||	A covering cloud of sacred oil attends you, and your streams flow to us from days aforetime.
अनु शरुताम अमतिं वर्धद उर्वीम बर्हिर इव यजुषा रक्षमाणा |	anu śrutām amatiṃ vardhad urvīm barhir iva yajuṣā rakṣamāṇā |	5 To make the lustre wider and more famous, guarding the sacred grass with veneration,
नमस्वन्ता धर्तदक्षाधि गर्ते मित्रासाथे वरुणेळास्व अन्तः ||	namasvantā dhṛtadakṣādhi gharte mitrāsāthe varuṇeḷāsv antaḥ ||	Ye, Mitra-Varuṇa, firm, strong, awe-inspiring, are seated on a throne amid oblations.
